x_path,label
./traffic-sign/train/00019/01227_00001.png,19
./traffic-sign/train/00052/00729_00002.png,52
./traffic-sign/train/00013/00919_00002.png,13
./traffic-sign/train/00007/00051_00000.png,7
./traffic-sign/train/00053/01052_00001.png,53
./traffic-sign/train/00037/00809_00001.png,37
./traffic-sign/train/00032/01002_00000.png,32
./traffic-sign/train/00038/00693_00000.png,38
./traffic-sign/train/00037/00807_00002.png,37
./traffic-sign/train/00014/00379_00002.png,14
./traffic-sign/train/00032/01588_00000.png,32
./traffic-sign/train/00032/01775_00001.png,32
./traffic-sign/train/00048/00091_00002.png,48
./traffic-sign/train/00042/01732_00001.png,42
./traffic-sign/train/00039/01261_00001.png,39
./traffic-sign/train/00032/01514_00002.png,32
./traffic-sign/train/00007/00719_00001.png,7
./traffic-sign/train/00018/00139_00001.png,18
./traffic-sign/train/00047/01325_00001.png,47
./traffic-sign/train/00041/01149_00001.png,41
./traffic-sign/train/00054/01937_00002.png,54
./traffic-sign/train/00028/01035_00001.png,28
./traffic-sign/train/00047/01358_00002.png,47
./traffic-sign/train/00022/01421_00001.png,22
./traffic-sign/train/00039/01006_00000.png,39
./traffic-sign/train/00028/00155_00000.png,28
./traffic-sign/train/00023/00630_00001.png,23
./traffic-sign/train/00038/00778_00002.png,38
./traffic-sign/train/00013/01580_00000.png,13
./traffic-sign/train/00032/01249_00002.png,32
./traffic-sign/train/00057/01272_00002.png,57
./traffic-sign/train/00007/00068_00001.png,7
./traffic-sign/train/00022/01053_00000.png,22
./traffic-sign/train/00028/01399_00001.png,28
./traffic-sign/train/00028/01372_00000.png,28
./traffic-sign/train/00031/01894_00001.png,31
./traffic-sign/train/00001/00897_00001.png,1
./traffic-sign/train/00032/00173_00001.png,32
./traffic-sign/train/00054/00768_00002.png,54
./traffic-sign/train/00032/01774_00002.png,32
./traffic-sign/train/00041/00124_00001.png,41
./traffic-sign/train/00047/01456_00000.png,47
./traffic-sign/train/00058/01788_00002.png,58
./traffic-sign/train/00032/01958_00002.png,32
./traffic-sign/train/00022/01644_00002.png,22
./traffic-sign/train/00047/00450_00000.png,47
./traffic-sign/train/00058/00107_00001.png,58
./traffic-sign/train/00053/01154_00001.png,53
./traffic-sign/train/00042/01582_00000.png,42
./traffic-sign/train/00050/00322_00000.png,50
./traffic-sign/train/00046/00115_00001.png,46
./traffic-sign/train/00054/01353_00001.png,54
./traffic-sign/train/00049/00310_00000.png,49
./traffic-sign/train/00009/00223_00001.png,9
./traffic-sign/train/00061/01536_00000.png,61
./traffic-sign/train/00022/01527_00001.png,22
./traffic-sign/train/00061/01805_00001.png,61
./traffic-sign/train/00003/00259_00000.png,3
./traffic-sign/train/00030/00625_00001.png,30
./traffic-sign/train/00053/01438_00002.png,53
./traffic-sign/train/00047/00011_00000.png,47
./traffic-sign/train/00013/01576_00002.png,13
./traffic-sign/train/00001/00136_00002.png,1
./traffic-sign/train/00007/01393_00001.png,7
./traffic-sign/train/00018/00024_00000.png,18
./traffic-sign/train/00028/00407_00001.png,28
./traffic-sign/train/00028/01901_00001.png,28
./traffic-sign/train/00036/01606_00000.png,36
./traffic-sign/train/00038/01129_00001.png,38
./traffic-sign/train/00040/00797_00000.png,40
./traffic-sign/train/00039/00944_00000.png,39
./traffic-sign/train/00028/01188_00001.png,28
./traffic-sign/train/00021/01951_00000.png,21
